nombre_de_usuario,genero,edad,pais,tipo_de_subscripcion,tiempo_de_escucha,canciones_escuchadas_por_dia,omision,tipo_de_dispositivo,anuncios_escuchados_por_semana,escucha_sin_conexion,cancelado
1,masculino,54,canada,gratis,26,23,0.34,computador,31,0,1
2,otro,33,alemania,pago,141,62,0.34,web,0,1,0
3,masculino,38,australia,pago,199,38,0.04,celular,0,1,1
4,femenino,38,canada,estudiante,36,2,0.31,celular,0,1,0
5,otro,29,estados unidos,familiar,250,57,0.36,celular,0,1,1
6,femenino,17,australia,gratis,219,35,0.46,computador,13,0,0
7,femenino,39,reino unido,pago,289,44,0.38,computador,0,1,0
4002,femenino,41,reino unido,gratis,210,68,0.11,computador,5,0,0
9,otro,55,alemania,estudiante,50,66,0.29,web,0,1,0
10,masculino,44,australia,gratis,278,94,0.38,celular,44,0,0
11,otro,33,alemania,gratis,86,44,0.11,computador,37,0,0
12,otro,24,canada,gratis,113,24,0.56,computador,39,0,1
13,femenino,37,india,pago,24,86,0.11,computador,0,1,0
14,femenino,53,australia,pago,45,47,0.6,web,0,1,0
15,otro,37,india,familiar,114,13,0.44,web,0,1,1
16,masculino,25,francia,pago,230,25,0.26,computador,0,1,0
17,femenino,36,alemania,estudiante,181,93,0.23,celular,0,1,0
18,masculino,58,estados unidos,familiar,120,8,0.41,computador,0,1,0
19,femenino,34,alemania,familiar,160,32,0.35,celular,0,1,0
20,masculino,35,reino unido,estudiante,281,51,0.34,computador,0,1,0
21,femenino,33,australia,estudiante,138,60,0.6,web,0,1,0
22,masculino,49,australia,pago,20,7,0.45,computador,0,1,0
23,femenino,45,pakistan,familiar,138,95,0.1,computador,0,1,0
24,masculino,44,canada,familiar,134,97,0.42,web,0,1,0
25,otro,32,canada,pago,133,22,0.59,computador,0,1,0
26,femenino,19,estados unidos,estudiante,154,29,0.53,computador,0,1,0
27,masculino,28,india,gratis,293,67,0.33,celular,23,0,0
28,otro,58,australia,gratis,15,55,0.3,celular,35,1,0
29,masculino,33,francia,gratis,123,13,0.22,computador,7,0,0
30,femenino,22,francia,pago,18,12,auto%#,celular,0,1,0
31,otro,44,reino unido,pago,149,45,0.22,web,0,1,0
32,masculino,53,estados unidos,estudiante,72,12,0.17,web,0,1,0
33,femenino,49,india,pago,291,74,0.11,celular,0,1,0
34,masculino,49,estados unidos,familiar,147,52,0.43,web,0,1,0
35,femenino,55,francia,pago,18,2,0.04,celular,0,1,0
36,otro,24,alemania,gratis,59,53,0.18,web,28,0,1
37,masculino,22,alemania,estudiante,280,99,0.29,computador,0,1,0
38,femenino,50,estados unidos,familiar,154,98,0.04,celular,0,1,0
39,femenino,38,alemania,familiar,47,59,0.06,computador,0,1,0
40,masculino,17,alemania,familiar,260,44,0.5,computador,0,1,1
41,femenino,51,reino unido,pago,122,16,0.54,computador,0,1,0
42,femenino,46,australia,estudiante,255,14,0.39,computador,0,1,0
43,masculino,22,alemania,familiar,49,39,0.51,celular,0,1,0
44,masculino,37,alemania,familiar,90,89,0.4,celular,0,1,0
45,masculino,39,pakistan,familiar,288,69,0.48,web,0,1,0
46,femenino,18,pakistan,pago,255,3,0.39,web,0,1,0
47,femenino,56,canada,estudiante,255,75,0.58,computador,0,1,0
48,masculino,58,estados unidos,familiar,26,23,0.08,celular,0,1,0
49,otro,38,estados unidos,familiar,238,60,0.29,computador,0,1,0
50,masculino,50,pakistan,gratis,241,7,0.56,computador,22,0,1
51,femenino,45,canada,pago,124,98,0.36,computador,0,1,0
52,otro,38,francia,pago,175,67,0.38,web,0,1,0
53,femenino,38,australia,gratis,41,3,0.0,computador,43,1,1
54,masculino,57,alemania,gratis,222,96,0.26,web,15,1,0
55,femenino,46,reino unido,familiar,121,71,0.32,computador,0,1,0
4002,femenino,41,india,familiar,277,2,0.59,web,0,1,0
57,otro,19,india,gratis,107,82,0.11,computador,12,0,1
58,masculino,48,francia,estudiante,198,63,0.23,computador,0,1,0
59,otro,22,alemania,gratis,59,51,0.42,computador,19,0,0
60,otro,17,india,estudiante,95,79,0.53,web,0,1,1
61,femenino,25,reino unido,pago,262,23,0.17,web,0,1,0
62,otro,49,pakistan,estudiante,169,26,auto%#,celular,0,1,0
63,otro,59,india,gratis,25,32,0.2,celular,38,0,0
64,femenino,45,canada,familiar,55,67,0.51,celular,0,1,1
4002,masculino,45,india,estudiante,161,42,0.4,computador,0,1,1
66,otro,21,francia,familiar,77,42,0.56,web,0,1,0
67,masculino,45,alemania,gratis,152,32,0.49,celular,14,0,1
68,femenino,45,reino unido,gratis,156,51,0.14,computador,18,0,0
69,otro,22,australia,estudiante,99,43,auto%#,computador,0,1,0
70,femenino,56,australia,gratis,181,40,0.21,celular,10,0,0
71,otro,51,australia,estudiante,265,81,0.36,web,0,1,0
72,femenino,22,australia,familiar,131,70,0.35,web,0,1,0
74,otro,59,australia,familiar,201,15,0.05,celular,0,1,0
75,masculino,41,alemania,familiar,223,53,0.33,web,0,1,0
76,masculino,25,reino unido,pago,154,83,0.19,computador,0,1,0
77,masculino,41,francia,familiar,81,6,0.34,celular,0,1,0
78,otro,30,francia,familiar,124,73,0.43,celular,0,1,0
79,masculino,23,estados unidos,gratis,13,30,0.24,celular,0,0,0
80,femenino,47,pakistan,pago,31,72,0.53,computador,0,1,1
81,masculino,34,australia,pago,277,87,0.3,web,0,1,0
82,otro,45,francia,estudiante,181,69,0.59,web,0,1,0
83,otro,32,pakistan,gratis,154,4,0.56,celular,35,0,0
84,otro,51,canada,gratis,105,11,0.03,web,29,0,0
85,otro,21,francia,estudiante,202,79,0.45,computador,0,1,0
86,femenino,38,india,familiar,284,38,0.23,web,0,1,0
87,masculino,21,estados unidos,pago,125,82,0.43,web,0,1,0
88,femenino,44,reino unido,gratis,237,36,0.37,web,20,0,0
89,otro,50,pakistan,familiar,99,15,0.15,celular,0,1,0
90,otro,52,alemania,estudiante,224,49,0.38,computador,0,1,0
91,masculino,43,reino unido,gratis,195,80,0.17,web,28,0,0
92,femenino,41,pakistan,pago,173,85,0.22,web,0,1,0
93,femenino,57,india,familiar,210,7,0.25,web,0,1,0
94,otro,50,reino unido,gratis,85,7,0.45,computador,44,0,0
95,femenino,35,francia,familiar,154,1,0.4,celular,0,1,0
96,otro,51,india,estudiante,222,97,0.03,computador,0,1,1
97,masculino,34,canada,pago,196,69,0.07,web,0,1,0
98,femenino,47,estados unidos,familiar,154,13,0.02,celular,0,1,1
99,masculino,19,pakistan,familiar,22,45,0.29,web,0,1,1
100,femenino,30,australia,estudiante,283,13,0.02,computador,0,1,0
101,femenino,27,francia,gratis,40,15,0.5,web,16,0,0
102,masculino,25,alemania,estudiante,251,91,0.12,computador,0,1,0
103,femenino,47,australia,familiar,240,61,0.56,celular,0,1,0
104,masculino,33,australia,familiar,160,76,0.06,web,0,1,0
105,masculino,46,canada,gratis,114,11,0.24,web,0,0,0
106,otro,50,australia,estudiante,251,9,0.39,web,0,1,0
107,masculino,31,francia,estudiante,181,89,0.11,computador,0,1,1
108,femenino,45,francia,pago,215,16,0.26,web,0,1,0
109,masculino,51,francia,estudiante,119,11,0.05,computador,0,1,0
110,otro,33,canada,pago,224,34,0.11,celular,0,1,0
111,masculino,42,alemania,pago,31,61,0.29,celular,0,1,0
112,masculino,16,canada,familiar,17,50,0.27,computador,0,1,0
113,otro,31,francia,estudiante,174,29,0.13,computador,0,1,1
115,masculino,57,francia,estudiante,84,40,0.58,computador,0,1,0
116,femenino,17,canada,gratis,198,31,0.07,web,6,0,0
117,masculino,31,canada,estudiante,272,40,0.12,computador,0,1,1
118,otro,45,reino unido,familiar,21,73,0.16,web,0,1,0
119,masculino,59,pakistan,familiar,251,47,0.14,celular,0,1,0
120,otro,38,pakistan,familiar,95,81,0.36,celular,0,1,0
121,masculino,59,india,estudiante,169,20,0.18,computador,0,1,1
122,masculino,47,alemania,pago,35,20,0.32,computador,0,1,1
123,masculino,21,estados unidos,gratis,32,34,0.52,web,14,0,0
124,femenino,28,alemania,gratis,55,67,0.53,computador,7,0,0
125,femenino,47,australia,familiar,120,26,0.48,computador,0,1,0
126,femenino,46,india,gratis,11,67,0.4,computador,36,0,1
127,femenino,20,estados unidos,pago,194,52,0.2,celular,0,1,0
128,femenino,34,pakistan,pago,81,85,0.29,web,0,1,0
129,otro,24,alemania,gratis,217,52,0.45,web,23,0,0
4002,masculino,40,estados unidos,pago,154,11,0.42,web,0,1,1
131,masculino,48,reino unido,gratis,72,35,0.53,computador,22,0,0
132,otro,47,pakistan,pago,154,94,0.29,computador,0,1,0
133,femenino,33,india,familiar,271,57,0.36,celular,0,1,1
134,masculino,20,estados unidos,pago,154,6,0.02,computador,0,1,1
135,otro,55,alemania,familiar,94,24,0.3,web,0,1,0
136,masculino,58,canada,estudiante,295,72,0.43,computador,0,1,0
137,otro,38,estados unidos,pago,286,35,0.42,computador,0,1,0
138,otro,53,estados unidos,estudiante,298,37,0.5,celular,0,1,0
